artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,genre_code
Lorne Balfe,Mission: Impossible – Dead Reckoning Part One (Music from the Official Teaser Trailer),0.42,130425,0,0.289,0.274,8,-9.79,1,0.0362,0.262,0.23,0.11,0.0405,0.37004667751425796,4,british,11
Roo Panes,I Just Love You,0.59,195453,0,0.542,0.644,2,-9.358,1,0.0296,0.584,0.362,0.055,0.425,0.6775142580083164,4,british,11
The Beatles,I Am The Walrus - Remastered 2009,0.62,275866,0,0.401,0.556,2,-10.532,1,0.0513,0.0828,0.000359,0.589,0.654,0.35010601055174795,4,british,11
Gerry & The Pacemakers,You'll Never Walk Alone,0.58,159546,0,0.474,0.365,0,-5.446,1,0.0306,0.251,2.02e-06,0.186,0.219,0.46516033068717844,3,british,11
The Beatles,I'll Follow The Sun - Remastered 2009,0.6,108853,0,0.689,0.313,0,-10.073,1,0.0366,0.789,0.0,0.144,0.625,0.5495866410269052,4,british,11
The Beatles,Eight Days A Week - Remastered 2009,0.64,163600,0,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,0.5675837812073697,4,british,11
The Rolling Stones,Can't You Hear Me Knocking - 2009 Mix,0.64,436000,0,0.545,0.757,0,-5.228,1,0.0396,0.408,0.045,0.16,0.714,0.6254499285045116,4,british,11
The Rolling Stones,Tumbling Dice,0.64,226333,0,0.615,0.91,11,-4.248,1,0.0347,0.5,0.511,0.281,0.77,0.4561453248524892,4,british,11
The Beatles,Yellow Submarine - Remastered 2009,0.61,158880,0,0.604,0.549,1,-9.873,1,0.0389,0.531,0.0,0.438,0.696,0.4577272652564798,4,british,11
The Beatles,Can't Buy Me Love - Remastered 2009,0.65,131866,0,0.483,0.677,0,-5.91,1,0.0593,0.283,0.0,0.321,0.842,0.7014775734266883,4,british,11
The Hollies,Long Cool Woman (In a Black Dress) - 1999 Remaster,0.71,199200,0,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,0.570825731801522,4,british,11
John Lunn;Johannes Bornlöf,"Downton Abbey Suite (From ""Downton Abbey"")",0.0,207882,0,0.416,0.0857,9,-23.241,0,0.0328,0.989,0.889,0.0943,0.135,0.6989423598441892,3,british,11
The Comet Is Coming;Kae Tempest,Blood Of The Past,0.0,495400,0,0.335,0.694,2,-7.29,0,0.0435,0.0232,0.0715,0.145,0.0677,0.4643714149532403,3,british,11
Adele,He Won't Go,0.56,278040,0,0.706,0.57,0,-7.045,0,0.086,0.0225,0.0,0.0754,0.728,0.6570517561592951,4,british,11
WILDES,Bare,0.44,242060,0,0.523,0.422,3,-10.385,0,0.027,0.783,0.00514,0.0898,0.145,0.5336521867758,4,british,11
Laura Marling;Antony Genn;Martin Slattery,Red Right Hand,0.5,87133,0,0.447,0.058,0,-21.547,1,0.0358,0.917,1.15e-06,0.102,0.0711,0.39232943806189696,4,british,11
The Maccabees,Grew Up At Midnight,0.39,240626,0,0.318,0.465,0,-9.526,1,0.0368,0.0116,0.000676,0.115,0.155,0.6369179691994149,4,british,11
Beverley Knight,Spin,0.34,238169,0,0.742,0.726,11,-5.498,0,0.0884,0.309,0.0,0.143,0.962,0.38626053942113303,4,british,11
The Beatles,Don’t Let Me Down - First Rooftop Performance,0.57,209453,0,0.455,0.502,4,-7.539,1,0.0493,0.699,0.000156,0.094,0.674,0.6711823874562398,4,british,11
Peppa Pig,Let's Get Ready!,0.5,125904,0,0.9,0.465,0,-5.939,1,0.118,0.702,0.0,0.223,0.731,0.42735811843597454,4,british,11
Adele,Daydreamer,0.54,220506,0,0.807,0.105,9,-13.188,1,0.0412,0.964,0.0,0.103,0.372,0.4479315615600808,4,british,11
Ben Howard,She Treats Me Well,0.58,317933,0,0.625,0.494,0,-12.597,0,0.0393,0.374,0.308,0.0713,0.596,0.3270261163979422,4,british,11
Ben Howard,Conrad,0.56,368120,0,0.574,0.322,9,-12.41,1,0.0264,0.91,0.519,0.0836,0.178,0.33530151373206446,4,british,11
Harry Gregson-Williams,The Battle,0.53,428200,0,0.238,0.563,0,-11.933,0,0.0502,0.283,0.924,0.123,0.141,0.4882114622881843,4,british,11
Patrick Doyle,Sons of Odin,0.51,108626,0,0.476,0.496,5,-16.564,1,0.039,0.396,0.975,0.101,0.24,0.5157659878704205,4,british,11
Roo Panes,There's A Place,0.53,368493,0,0.408,0.363,2,-13.949,1,0.0284,0.528,0.0538,0.0868,0.212,0.5392937560606808,4,british,11
Billie Marten,Mice,0.54,244260,0,0.65,0.195,5,-12.569,1,0.0482,0.695,1.26e-05,0.0851,0.363,0.5050211199316272,3,british,11
Tom Jones,Green Green Grass Of Home,0.4,185200,0,0.539,0.298,8,-17.579,1,0.0267,0.386,1.33e-05,0.112,0.791,0.39204181253389875,4,british,11
John Powell,P.S. I Love You,0.53,83293,0,0.462,0.0294,0,-28.156,1,0.0481,0.996,0.939,0.0851,0.388,0.3264919547030883,4,british,11
Tom Jones,Delilah,0.61,204160,0,0.528,0.482,9,-10.939,0,0.027,0.614,0.0,0.549,0.788,0.39371825846851727,1,british,11
Ben Howard,I Forget Where We Were,0.6,281213,0,0.305,0.462,0,-9.57,1,0.0338,0.475,0.122,0.0916,0.181,0.46623276301300065,4,british,11
Mogwai,Take Me Somewhere Nice,0.51,417226,0,0.459,0.562,2,-8.771,1,0.0297,0.391,0.287,0.0935,0.0733,0.5103380832634814,3,british,11
The Beatles,"Hello, Goodbye - Remastered 2009",0.63,208840,0,0.479,0.733,0,-8.753,1,0.0256,0.306,2.4e-05,0.414,0.806,0.40804611869894647,4,british,11
The Beatles,Get Back - Rooftop Performance / Take 2,0.57,204186,0,0.655,0.695,9,-9.648,1,0.0381,0.101,0.436,0.105,0.33,0.5159673257400194,4,british,11
Kokoroko,Abusey Junction,0.6,424080,0,0.71,0.346,8,-11.872,0,0.0582,0.839,0.935,0.111,0.364,0.34478904721989384,4,british,11
The Beatles,Girl - Remastered 2009,0.6,151720,0,0.699,0.294,5,-13.205,0,0.0294,0.587,0.0,0.117,0.893,0.396984862679355,4,british,11
Donovan,Hurdy Gurdy Man,0.58,193466,0,0.405,0.463,0,-16.167,1,0.0542,0.00379,0.0442,0.392,0.542,0.32645908321417416,4,british,11
Tom Jones,She's A Lady,0.63,174146,0,0.51,0.876,2,-9.101,1,0.161,0.212,0.0,0.248,0.624,0.4918478707493055,4,british,11
The Beatles,I Feel Fine - Remastered 2015,0.62,139346,0,0.564,0.827,7,-7.089,1,0.0283,0.0904,3.73e-06,0.127,0.912,0.36917558305803455,4,british,11
The Beatles,Taxman - 2022 Mix,0.6,158266,0,0.493,0.762,7,-6.114,1,0.147,0.00216,0.0,0.713,0.708,0.5474212316946896,4,british,11
Paolo Nutini,New Shoes,0.67,203653,0,0.748,0.735,8,-8.692,1,0.0903,0.47,1.09e-05,0.0851,0.854,0.6165047745837647,4,british,11
Paolo Nutini,Through The Echoes,0.65,221245,0,0.73,0.487,7,-7.679,1,0.0399,0.285,3.49e-05,0.135,0.314,0.4311629932777805,4,british,11
John Powell,This Is Berk,0.57,250266,0,0.255,0.489,3,-9.459,1,0.0587,0.512,0.808,0.229,0.3,0.5064962279966471,4,british,11
George Fenton,If Only,0.57,66466,0,0.361,0.0972,7,-19.72,1,0.0358,0.993,0.972,0.0772,0.0702,0.2604860049635948,4,british,11
Simply Red,Stars,0.69,248599,0,0.716,0.818,7,-7.456,1,0.0256,0.154,0.000806,0.236,0.817,0.42596518909324,4,british,11
Vashti Bunyan,I'd Like To Walk Around In Your Mind,0.48,135453,0,0.212,0.194,0,-16.798,1,0.0471,0.924,0.000507,0.117,0.524,0.7094078201272126,3,british,11
The Hollies,The Air That I Breathe - 2008 Remaster,0.66,257106,0,0.279,0.473,4,-8.375,0,0.0309,0.242,0.00164,0.158,0.246,0.6894466084841313,4,british,11
The Beatles,I've Just Seen A Face - Remastered 2009,0.6,125040,0,0.647,0.56,9,-8.809,1,0.0387,0.723,0.0,0.118,0.913,0.4947898690071167,3,british,11
The Rolling Stones,Happy,0.34,185933,0,0.552,0.894,4,-3.835,1,0.0292,0.328,0.938,0.515,0.968,0.5411879756093553,4,british,11
Edward Elgar;Nobuko Imai;Roland Pöntinen,"Salut d'amour, Op. 12 (Arr. Viola & Piano)",0.35,173000,0,0.273,0.0721,2,-26.701,1,0.0543,0.956,0.263,0.113,0.1,0.3643106026987492,5,british,11
The Rolling Stones,Jumpin' Jack Flash,0.65,222933,0,0.595,0.885,3,-7.688,1,0.0518,0.0744,0.534,0.0844,0.643,0.5639227191295629,4,british,11
Nick Drake,One Of These Things First,0.6,290733,0,0.604,0.37,4,-18.45,1,0.0362,0.836,0.346,0.0954,0.666,0.37119717962625115,3,british,11
The Rolling Stones,Ruby Tuesday,0.63,196493,0,0.524,0.553,0,-10.767,1,0.0292,0.831,0.0,0.174,0.517,0.4297043209572177,4,british,11
The Rolling Stones,Brown Sugar - 2009 Remaster,0.67,228666,0,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,0.5284338379106881,4,british,11
The Beatles,Eleanor Rigby - Remastered 2015,0.58,125866,0,0.605,0.314,0,-7.631,1,0.0327,0.916,0.0,0.359,0.836,0.5676413063129694,4,british,11
George Ogilvie,October,0.55,307401,0,0.685,0.53,5,-7.25,1,0.0325,0.574,0.0,0.0845,0.19,0.4847928274411189,4,british,11
Craig David;Muni Long,Obvious (feat. Muni Long),0.2,219106,0,0.609,0.804,5,-4.817,0,0.0853,0.0799,0.0,0.108,0.736,0.3692906332692339,4,british,11
The Beatles,Help!,0.58,138285,0,0.552,0.734,6,-7.126,0,0.0291,0.221,0.0,0.116,0.846,0.38988462107391153,4,british,11
Rachel Portman,We Had Today,0.47,224213,0,0.079,0.135,2,-14.18,1,0.0427,0.963,0.913,0.0845,0.038,0.33708068306953964,4,british,11
Tara Lily,Hotel Amour,0.42,153000,0,0.607,0.678,11,-5.217,0,0.0519,0.02,5.72e-05,0.107,0.234,0.31637164505366266,4,british,11
Nicholas Hooper,Harry & Hermione,0.53,172653,0,0.317,0.0436,0,-29.086,1,0.0317,0.891,0.922,0.157,0.0396,0.3683702315796394,3,british,11
Craig David;Sting,Rise & Fall (feat. Sting),0.61,287226,0,0.405,0.589,6,-7.51,0,0.0586,0.252,0.0,0.661,0.808,0.342574330654307,4,british,11
Donovan,Catch the Wind,0.22,173813,0,0.385,0.306,3,-12.167,1,0.0297,0.452,7.43e-06,0.128,0.546,0.7123950166822807,3,british,11
Nicholas Hooper,When Ginny Kissed Harry,0.52,158186,0,0.483,0.0589,4,-28.255,0,0.0394,0.979,0.956,0.0375,0.0783,0.34530677317029074,3,british,11
Steven Price,Gravity,0.49,275320,0,0.117,0.256,8,-15.356,0,0.042,0.176,0.979,0.199,0.0579,0.38077921864470854,4,british,11
Adele,Hometown Glory,0.62,271226,1,0.436,0.336,10,-8.517,0,0.037,0.962,3.4e-05,0.102,0.21,0.5031638808079811,4,british,11
Peppa Pig,Jumping In Muddy Puddles,0.49,170964,0,0.738,0.476,4,-5.721,1,0.0519,0.658,0.0,0.3,0.631,0.5337713459231136,4,british,11
Peppa Pig,My Friend Peppa,0.45,237114,0,0.804,0.709,5,-7.104,1,0.0409,0.384,0.0,0.0879,0.923,0.5668523905790313,4,british,11
The Beatles,If I Fell - Remastered 2009,0.61,139466,0,0.665,0.31,2,-8.928,1,0.0278,0.68,0.0,0.0877,0.568,0.444632085860329,4,british,11
Blanco White,Nocturne,0.52,268626,0,0.48,0.303,2,-13.189,0,0.0302,0.949,0.196,0.155,0.192,0.521904738425127,3,british,11
Billie Marten,Milk & Honey - Alt Version,0.51,288493,0,0.318,0.193,11,-14.794,0,0.0573,0.949,0.0328,0.095,0.0753,0.7002202389757243,3,british,11
Ben Howard,Keep Your Head Up,0.67,264546,0,0.508,0.596,4,-9.034,0,0.0334,0.439,9.84e-06,0.111,0.4,0.3260810610916621,4,british,11
DragonForce,Dawn Over A New World,0.37,312600,0,0.382,0.66,5,-7.171,1,0.0295,0.0204,0.0,0.149,0.244,0.32780681425965186,4,british,11
Harry Gregson-Williams,Making Water,0.49,158160,0,0.495,0.335,10,-18.848,1,0.0494,0.826,0.873,0.104,0.0384,0.4764393603208257,4,british,11
Stephen Barton,Apex Legends: Main Theme,0.42,159691,0,0.459,0.648,10,-11.755,1,0.0374,0.0111,0.878,0.109,0.364,0.4929367388195848,4,british,11
The Beatles,I'm Only Sleeping - Remastered 2009,0.59,180320,0,0.494,0.47,8,-9.599,0,0.0301,0.21,0.0,0.28,0.698,0.42518038229541605,4,british,11
Lisa Stansfield,Change,0.33,338613,0,0.663,0.643,0,-13.757,1,0.0432,0.321,3.02e-05,0.327,0.79,0.4350336110974146,4,british,11
Alex Hepburn,If You Stay,0.31,194553,1,0.719,0.702,11,-4.577,1,0.0357,0.0453,1.35e-05,0.0662,0.613,0.48049077132948737,4,british,11
Adele,I'll Be Waiting,0.54,241351,0,0.547,0.848,2,-2.684,1,0.0367,0.049,0.0,0.114,0.749,0.6576886412570057,4,british,11
The Beatles,Within You Without You - Remastered 2009,0.53,304666,0,0.352,0.479,6,-9.965,1,0.0338,0.339,0.000353,0.486,0.354,0.5184080337918906,4,british,11
Amy Winehouse,Me & Mr Jones,0.66,153173,1,0.583,0.486,4,-13.165,1,0.0759,0.518,0.0,0.0665,0.513,0.3609166214683694,4,british,11
John Powell,Forbidden Friendship,0.56,251093,0,0.279,0.295,6,-15.135,1,0.035,0.859,0.94,0.547,0.381,0.5307471689430173,4,british,11
YUNGBLUD,"god save me, but don't drown me out",0.57,217510,1,0.373,0.871,2,-3.706,1,0.0622,0.00115,0.0,0.4,0.201,0.5235318771263744,4,british,11
The Beatles,Carry That Weight - Remastered 2009,0.59,96466,0,0.543,0.458,0,-8.976,1,0.0274,0.226,0.00663,0.298,0.704,0.34646138421839817,4,british,11
London Symphony Orchestra,"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",0.51,150826,0,0.475,0.13,7,-17.719,1,0.051,0.916,0.956,0.101,0.122,0.461191098400802,4,british,11
The Kinks,All Day And All Of The Night,0.41,142480,0,0.551,0.958,7,-2.855,1,0.0834,0.512,0.0,0.0762,0.709,0.5623777591506006,4,british,11
The Beatles,Revolution - Remastered 2009,0.63,205293,0,0.407,0.834,6,-9.224,1,0.208,0.0734,0.00021,0.241,0.71,0.498742665549036,4,british,11
Vicky Arlidge,Incy Wincy Spider,0.5,63259,0,0.747,0.369,11,-11.949,1,0.0523,0.736,6.42e-06,0.24,0.383,0.4314588366780073,4,british,11
Lonely The Brave,Backroads (Redux),0.47,256399,0,0.466,0.536,4,-5.4,1,0.0266,0.000979,0.000521,0.105,0.0922,0.31671679568726063,4,british,11
The Beatles,Maxwell's Silver Hammer - Remastered 2009,0.58,207920,0,0.764,0.426,2,-11.045,1,0.0405,0.629,0.000119,0.132,0.726,0.538763703301941,4,british,11
The Beatles,She's Leaving Home - Remastered 2009,0.58,215160,0,0.381,0.214,4,-11.629,1,0.0337,0.944,0.0,0.106,0.393,0.5242221783935703,3,british,11
The Beatles,Penny Lane,0.56,182053,0,0.633,0.385,9,-9.967,1,0.0358,0.411,8.72e-05,0.095,0.647,0.46823792383676016,4,british,11
Billy Fury,It's Only Make Believe,0.35,146706,0,0.419,0.382,9,-13.438,1,0.0322,0.32,0.0,0.106,0.462,0.34591078677908715,4,british,11
Johnny Kidd & The Pirates,Shakin' All Over,0.32,141000,0,0.767,0.626,9,-8.408,1,0.036,0.188,1.03e-05,0.327,0.715,0.5145908321417418,4,british,11
Gerald Finzi;Klein High School Chamber Orchestra;Creston Herron,Prelude for String Orchestra (Live),0.0,299280,0,0.15,0.111,5,-23.505,0,0.0606,0.809,0.906,0.199,0.0771,0.5665277846260046,4,british,11
Amy Winehouse,Stronger Than Me,0.63,214493,0,0.883,0.458,9,-6.801,0,0.0411,0.0401,0.000419,0.0603,0.816,0.3756635931824532,4,british,11
Steven Price,Emma,0.49,155826,0,0.407,0.433,2,-15.331,0,0.0376,0.467,0.936,0.0663,0.0779,0.4927477277583288,4,british,11
Ben Howard,Time Is Dancing,0.52,409160,0,0.404,0.534,10,-13.012,1,0.0435,0.82,0.708,0.107,0.182,0.6200220238975723,4,british,11
YUNGBLUD;Dan Reynolds,original me (feat. dan reynolds of imagine dragons),0.55,205320,1,0.471,0.786,1,-5.24,1,0.192,0.00888,1.89e-06,0.187,0.61,0.6574708676429498,4,british,11
Alex Heffes;Anoushka Shankar,Lata's Theme,0.22,150706,0,0.367,0.207,7,-11.697,1,0.0393,0.923,0.338,0.269,0.152,0.47285636802918984,4,british,11
Sam Palladio,Under the Tree,0.4,209730,0,0.634,0.631,10,-7.098,1,0.0272,0.361,0.0,0.104,0.582,0.4808975560047992,3,british,11
YUNGBLUD,The Emperor,0.58,175150,0,0.515,0.945,8,-3.116,0,0.0888,0.000339,2.36e-05,0.289,0.592,0.6577502752987197,4,british,11
Henry Jackman,Cap's Promise,0.4,225560,0,0.134,0.326,9,-13.868,1,0.0303,0.699,0.925,0.0744,0.0714,0.32014364840655457,3,british,11
Alex Hepburn,Under,0.59,238213,0,0.5,0.742,5,-4.029,0,0.0385,0.15,0.0,0.357,0.423,0.6896027480564733,4,british,11
Henry Jackman,The Gray Man,0.31,1029647,0,0.302,0.632,9,-13.689,1,0.0647,0.013,0.839,0.0781,0.0583,0.6844090528080469,5,british,11
Charlie Cunningham,Permanent Way,0.2,252080,0,0.561,0.55,8,-17.419,1,0.037,0.77,0.476,0.0921,0.446,0.604054698157553,4,british,11
Adele,Take It All,0.55,228293,0,0.415,0.266,0,-8.44,1,0.0308,0.957,1.18e-06,0.183,0.282,0.5674276416350278,4,british,11
David Arnold;Michael Price,Irene's Theme,0.36,42933,0,0.382,0.0399,2,-19.078,0,0.0439,0.993,0.0576,0.0648,0.724,0.36474204099074664,4,british,11
The Beatles,Because - Remastered 2009,0.58,165666,0,0.328,0.249,2,-11.777,1,0.0272,0.754,5.77e-06,0.134,0.162,0.3338798218365301,4,british,11
Simply Red,Holding Back the Years - 2008 Remaster,0.68,269840,0,0.707,0.514,9,-8.885,0,0.0281,0.58,0.000159,0.0953,0.524,0.3535123185904705,4,british,11
The Beatles,Day Tripper - Remastered 2009,0.56,169613,0,0.641,0.722,6,-10.553,0,0.0297,0.117,0.0,0.19,0.698,0.5659319888894367,4,british,11
Ben Howard,In Dreams,0.57,213440,0,0.49,0.592,0,-13.54,1,0.0405,0.614,0.713,0.136,0.28,0.5202775997238794,4,british,11
Duffy,Warwick Avenue,0.67,226386,0,0.493,0.59,0,-5.814,0,0.0392,0.339,0.0,0.121,0.502,0.6981411173019081,4,british,11
Fenne Lily,Top to Toe,0.52,216252,0,0.708,0.153,1,-14.594,1,0.0489,0.892,8.67e-06,0.112,0.45,0.45589057081340495,4,british,11
Billie Marten,Cartoon People,0.52,213539,0,0.715,0.207,10,-14.154,1,0.0336,0.912,0.0,0.13,0.247,0.44805072070739443,4,british,11
The Kinks,Waterloo Sunset - Mono Version,0.38,196820,0,0.579,0.55,1,-9.413,0,0.0272,0.0955,0.0,0.278,0.474,0.44194484164160214,4,british,11
Roo Panes,Little Giant,0.53,292426,0,0.323,0.276,0,-12.211,1,0.036,0.694,0.00119,0.106,0.101,0.6876551123383133,4,british,11
Roo Panes,Land Of The Living,0.55,264986,0,0.512,0.384,5,-8.799,1,0.0331,0.512,0.000193,0.128,0.289,0.501257334450964,4,british,11
The Kinks,Lola (Remastered),0.25,244760,0,0.416,0.828,9,-5.969,1,0.0376,0.467,0.067,0.27,0.898,0.6237077395920648,4,british,11
Jessie Ware,Wildest Moments,0.55,222167,0,0.565,0.772,2,-6.83,1,0.0468,0.21,0.098,0.44,0.484,0.34102115280311623,4,british,11
Vashti Bunyan,Train Song,0.5,135360,0,0.576,0.382,4,-9.98,0,0.0361,0.888,0.000555,0.132,0.55,0.4214741219203524,4,british,11
Blanco White,Colder Heavens,0.58,273893,0,0.224,0.547,5,-9.906,0,0.042,0.773,0.00305,0.0872,0.291,0.3427510149072202,1,british,11
John Smith,Far Too Good,0.62,219333,0,0.825,0.324,4,-11.399,1,0.032,0.83,9.49e-05,0.115,0.553,0.3986448728695166,4,british,11
DragonForce,Cry Thunder,0.52,316066,0,0.167,0.963,11,-3.547,0,0.0939,0.000369,6.17e-06,0.312,0.61,0.8016082375951218,3,british,11
Gustav Holst;North Texas Wind Symphony;Eugene Migliaro Corporon,"Second Suite in F Major, Op. 28 No. 2, H. 106: I. March",0.32,281293,0,0.526,0.173,5,-17.883,1,0.038,0.986,0.932,0.0948,0.428,0.48995776013674536,4,british,11
Sade,Your Love Is King,0.65,219426,0,0.742,0.42,9,-6.797,1,0.031,0.562,4.12e-05,0.0402,0.594,0.5531614154463126,3,british,11
YUNGBLUD,hope for the underrated youth,0.55,240906,1,0.225,0.774,11,-3.18,0,0.0483,0.0222,0.0,0.111,0.167,0.6472601613990105,4,british,11
The Spencer Davis Group,Gimme Some Lovin' - Single Mix,0.64,178840,0,0.598,0.564,0,-6.454,1,0.032,0.216,0.000204,0.277,0.43,0.6065570402511381,4,british,11
Nick Drake,Day Is Done,0.56,146026,0,0.487,0.298,2,-15.225,0,0.0328,0.603,0.682,0.161,0.457,0.5108722449583354,4,british,11
The Who,My Generation - Stereo Version,0.65,198706,0,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,0.3974656082047236,4,british,11
The Beatles,"Baby, You're A Rich Man - Remastered 2009",0.53,181306,0,0.619,0.625,7,-9.635,1,0.036,0.0119,1.05e-06,0.152,0.467,0.3975436779908946,4,british,11
The Rolling Stones,Under My Thumb,0.65,221533,0,0.732,0.494,6,-13.571,0,0.0406,0.299,0.205,0.0919,0.799,0.5217773614055848,4,british,11
The Beatles,Dear Prudence - Remastered 2009,0.59,235773,0,0.388,0.529,7,-10.533,1,0.0436,0.16,0.0681,0.108,0.332,0.6193029600775767,4,british,11
The Who,The Seeker - Edit,0.63,190373,0,0.318,0.657,2,-11.829,1,0.0358,0.101,3.01e-06,0.144,0.753,0.7292416547507519,4,british,11
Yusuf / Cat Stevens,Peace Train - Remastered 2021,0.65,253293,0,0.594,0.682,0,-8.858,1,0.0487,0.051,4.56e-05,0.0919,0.76,0.33893381325707145,4,british,11
Whitesnake,Is This Love,0.57,284400,0,0.493,0.747,0,-8.521,1,0.0298,0.0711,0.0,0.138,0.536,0.37078628601482505,4,british,11
Brooke Bentham,I Need Your Body,0.5,250032,0,0.465,0.451,9,-7.254,0,0.0272,0.103,0.00677,0.0891,0.0905,0.32824647042387783,4,british,11
YUNGBLUD,Time In A Bottle,0.45,275826,0,0.313,0.571,2,-5.607,1,0.0352,0.0306,0.0,0.567,0.163,0.563372121690252,3,british,11
Ilan Eshkeri,Jin Sakai,0.44,171840,0,0.428,0.442,7,-14.255,0,0.0421,0.398,0.856,0.112,0.135,0.3451300889173775,4,british,11
David Arnold,Vesper,0.5,104146,0,0.235,0.0546,9,-23.644,0,0.0391,0.886,0.913,0.0711,0.071,0.26164883388393073,5,british,11
Daniel Pemberton,The Born King,0.46,150533,0,0.356,0.199,2,-14.521,0,0.0332,0.0563,0.822,0.255,0.0686,0.4513419785349177,4,british,11
Tom Rosenthal,It's Ok - Acoustic,0.58,191351,0,0.616,0.0663,8,-12.73,0,0.0387,0.985,0.00408,0.101,0.18,0.6082910112913564,4,british,11
Ewan J Phillips;Marley Chapman,I Wish I Was the Moon,0.49,218231,0,0.396,0.315,1,-11.801,0,0.0346,0.879,0.0603,0.0953,0.081,0.4085597357132291,3,british,11
Natalie Holt,TVA First View,0.44,66826,0,0.0807,0.336,0,-13.138,1,0.0385,0.7,0.989,0.134,0.0374,0.34134164982002857,3,british,11
Adele,Melt My Heart To Stone,0.52,203906,0,0.353,0.388,11,-7.091,0,0.0366,0.346,0.0,0.215,0.19,0.33146787633745867,4,british,11
Lyla Foy,Impossible,0.43,235071,0,0.717,0.462,0,-9.802,1,0.033,0.567,0.29,0.11,0.357,0.48602961721151156,4,british,11
Patrick Doyle,La Valse de L'Amour,0.52,154560,0,0.196,0.14,5,-19.384,1,0.0353,0.892,0.941,0.104,0.132,0.24093568693193956,4,british,11
YUNGBLUD,Kill Somebody,0.55,187880,1,0.722,0.781,1,-5.772,0,0.219,0.103,0.0,0.0849,0.494,0.608393734694213,4,british,11
The Moody Blues,Had To Fall In Love,0.57,220040,0,0.493,0.306,0,-17.392,1,0.029,0.678,0.243,0.14,0.346,0.2957817661850993,4,british,11
Harry Gregson-Williams,Evacuating London,0.48,218560,0,0.161,0.232,4,-17.383,0,0.0398,0.811,0.709,0.12,0.0355,0.6237899183143499,4,british,11
Peppa Pig,The Class Of Madame Gazelle,0.47,144417,0,0.873,0.592,2,-5.788,1,0.0431,0.365,0.0,0.721,0.265,0.4682009434117318,4,british,11
YUNGBLUD,Cruel Kids,0.57,172080,1,0.563,0.733,7,-5.897,1,0.0363,0.218,0.0,0.586,0.379,0.5467638019164078,4,british,11
Peppa Pig,Roller Disco,0.47,196754,0,0.861,0.752,9,-6.829,0,0.143,0.0872,0.0,0.0537,0.811,0.5096149105073714,4,british,11
Henry Jackman,Captain America,0.4,581853,0,0.452,0.267,5,-20.359,0,0.0339,0.684,0.875,0.0761,0.13,0.626888056144503,5,british,11
DON BROCO,Fingernails,0.58,245243,0,0.613,0.946,1,-4.522,0,0.113,0.00391,0.0338,0.11,0.374,0.5834442746084183,4,british,11
The Animals,Don't Let Me Be Misunderstood,0.57,145693,0,0.546,0.568,11,-9.604,0,0.0285,0.146,0.0,0.77,0.488,0.46260046348799366,4,british,11
YUNGBLUD,love song,0.52,240206,0,0.292,0.522,9,-5.526,1,0.0364,0.206,0.0,0.116,0.388,0.7286088785891557,3,british,11
Tom Rosenthal,Call You in the Morning,0.56,132309,0,0.731,0.313,7,-9.723,1,0.0389,0.952,0.00659,0.109,0.308,0.5674112058905708,4,british,11
Craig Armstrong,Glasgow Love Theme,0.52,125186,0,0.312,0.122,9,-15.618,1,0.0313,0.985,0.927,0.0765,0.0397,0.32322535049225054,4,british,11
The Beatles,We Can Work It Out - Remastered 2015,0.61,135693,0,0.378,0.677,2,-8.63,1,0.0298,0.0635,0.0,0.183,0.648,0.43583896257580984,4,british,11
Jessie Ware,Free Yourself,0.65,234493,0,0.688,0.91,0,-4.496,0,0.0456,0.00286,1.07e-05,0.129,0.77,0.4890620120638364,4,british,11
YUNGBLUD,Don't Feel Like Feeling Sad Today,0.57,116483,0,0.53,0.904,0,-3.955,1,0.0423,0.00112,0.0,0.0822,0.654,0.3902215538352809,3,british,11
The Servant,Cells,0.3,287960,0,0.543,0.781,9,-6.133,0,0.0476,0.000782,0.000116,0.0945,0.608,0.3058609864733823,4,british,11
Peppa Pig,Birdy Birdy Woof Woof,0.47,119003,0,0.805,0.619,4,-7.224,1,0.0636,0.782,0.0,0.769,0.961,0.7154109757901483,4,british,11
Leona Lewis,Run,0.62,314720,0,0.285,0.462,5,-6.166,0,0.0291,0.428,5.61e-06,0.122,0.0923,0.5849686899068093,4,british,11
Ralph McTell,Streets of London,0.19,248586,0,0.396,0.295,4,-15.126,1,0.0343,0.625,7.6e-05,0.0989,0.187,0.6390669427871736,4,british,11
Amy Winehouse,He Can Only Hold Her,0.65,166400,0,0.626,0.504,11,-14.978,1,0.073,0.021,0.00843,0.0684,0.713,0.4042823332182831,4,british,11
James Hunter,Tell Her,0.3,204960,0,0.728,0.468,7,-9.2,1,0.0313,0.692,5.09e-06,0.149,0.734,0.46494666600923684,4,british,11
